path,win_probability,win_loss_ratio,segments_per_day,micros,runs,breakeven_win_probability,expected_gross_edge_ticks_per_trade_per_micro,expected_gross_edge_usd_per_trade_per_micro,pass_rate_per_attempt,p_first_payout_within_12m,monthly_net_mean,monthly_net_p10,monthly_net_p50,monthly_net_p90,p_beats_random_null_trader,mean_xfa_breaches,p_run_reaches_5_live,p_same_day_multi_breach,c80_critical_value,c80_power,c80_power_se,c80_power_lower95,c80_verdict,robust_c80_critical_value,robust_c80_power,robust_c80_power_se,robust_c80_power_lower95,robust_c80_verdict,c90_critical_value,c90_power,c90_power_se,c90_power_lower95,c90_verdict,robust_c90_critical_value,robust_c90_power,robust_c90_power_se,robust_c90_power_lower95,robust_c90_verdict,c95_critical_value,c95_power,c95_power_se,c95_power_lower95,c95_verdict,robust_c95_critical_value,robust_c95_power,robust_c95_power_se,robust_c95_power_lower95,robust_c95_verdict
standard,0.55,1.0,1,2,8000,0.5,14.4267741935484,18.0334677419355,0.3098349054112577,0.887875,187.13628677083335,-107.43466666666666,19.553333333333335,656.9743333333338,0.6807706484375,3.306125,0.00325,0.13525,43.05683333333334,0.458,0.0055704129110865745,0.44708199069427035,fail,420.1011666666668,0.167125,0.004171244334353359,0.1589493611046674,fail,198.7330833333335,0.287375,0.005059528255862892,0.2774583246185087,fail,873.5891666666669,0.065375,0.0027636278099402245,0.059958289492517164,fail,390.61495833333333,0.179,0.0042860092160423545,0.17059942193655697,fail,1422.9244583333327,0.02725,0.0018202828592007343,0.023682245595966562,fail
standard,0.55,1.5,1,2,8000,0.4,44.17279426068229,55.21599282585286,0.5825187506035602,0.997625,1756.9412544791667,88.1346666666667,1101.9633333333331,4335.114000000001,0.9468004062500001,5.31675,0.14825,0.36125,43.05683333333334,0.926125,0.0029244120001933726,0.920393152479621,pass,420.1011666666668,0.7405,0.004901017113824436,0.7308940064569042,fail,198.7330833333335,0.84625,0.004032848520276952,0.8383456169002571,pass,873.5891666666669,0.568,0.0055382307644228764,0.5571450677017311,fail,390.61495833333333,0.75375,0.00481677975285356,0.744309111684407,fail,1422.9244583333327,0.420875,0.005519728643409475,0.41005633185891743,fail
standard,0.55,2.0,1,2,8000,0.3333333333333333,66.3082541088835,82.88531763610438,0.738167715168324,1.0,5124.968760625,1087.5063333333333,4579.72375,10034.334083333335,0.9935458984375,4.841375,0.591,0.369625,43.05683333333334,0.995125,0.0007787196522979213,0.9935987094814961,pass,420.1011666666668,0.969125,0.0019339640112667554,0.9653344305379171,pass,198.7330833333335,0.98625,0.0013019666614395335,0.9836981453435785,pass,873.5891666666669,0.925375,0.0029380288752622915,0.9196164634044859,pass,390.61495833333333,0.971375,0.0018643232476893597,0.9677209264345289,pass,1422.9244583333327,0.86125,0.0038648809409217257,0.8536748333557934,pass
standard,0.6,0.75,1,2,8000,0.5714285714285714,8.329301964183095,10.411627455228869,0.27167229851918445,0.84975,112.14738854166667,-111.60433333333334,-19.72875,478.9740833333334,0.631264875,2.99875,0.0015,0.12575,43.05683333333334,0.37775,0.005420504329626534,0.367125811513932,fail,420.1011666666668,0.117125,0.003595252674969452,0.11007830475705987,fail,198.7330833333335,0.22225,0.004648318748483154,0.213139295252973,fail,873.5891666666669,0.041,0.002216951736055614,0.036654774597331,fail,390.61495833333333,0.1285,0.0037414527592901665,0.12116675259179127,fail,1422.9244583333327,0.014625,0.0013421582141740966,0.011994369900218772,fail
standard,0.6,1.0,1,2,8000,0.5,28.85354838709677,36.066935483870964,0.4566636889569508,0.982,680.6269311458334,-54.396083333333316,332.4241666666667,1821.538416666668,0.8542865390625,4.6325,0.031875,0.279375,43.05683333333334,0.75825,0.004786790907016934,0.7488678898222468,fail,420.1011666666668,0.44825,0.005560147676770825,0.4373521105535292,fail,198.7330833333335,0.598125,0.005481462902079608,0.5873813327119239,fail,873.5891666666669,0.26375,0.004926788222310758,0.2540934950842709,fail,390.61495833333333,0.464625,0.005576161419101405,0.45369572361856125,fail,1422.9244583333327,0.145375,0.0039408296933355295,0.13765097380106237,fail
standard,0.6,1.5,1,2,8000,0.4,58.89705901424304,73.6213237678038,0.7044096147230822,1.0,4020.380955625,681.1345000000001,3246.85375,8675.679333333333,0.988615125,5.533,0.456,0.449875,43.05683333333334,0.99075,0.0010703058850160536,0.9886522004653685,pass,420.1011666666668,0.941875,0.0026159721991785385,0.93674769448961,pass,198.7330833333335,0.971875,0.0018484447643559692,0.9682520482618624,pass,873.5891666666669,0.8655,0.0038146059757201652,0.8580233722875885,pass,390.61495833333333,0.9465,0.0025158932310414125,0.9415688492671589,pass,1422.9244583333327,0.766,0.00473344483436746,0.7567224481246398,fail
standard,0.6,2.0,1,2,8000,0.3333333333333333,81.6101589032412,102.0126986290515,0.8321071447075281,1.0,8536.1909784375,3321.5643333333333,8814.223333333332,13151.743583333333,0.999371578125,3.640625,0.872,0.299625,43.05683333333334,0.99975,0.00017675459682847447,0.9994035609902162,pass,420.1011666666668,0.9975,0.0005583177858531765,0.9964056971397278,pass,198.7330833333335,0.99925,0.0003060713764794146,0.9986501001021003,pass,873.5891666666669,0.99125,0.0010412394957453374,0.9892091705883391,pass,390.61495833333333,0.99825,0.0004672977503690807,0.9973340964092766,pass,1422.9244583333327,0.97925,0.0015937156859051132,0.9761263172556259,pass
standard,0.4,0.75,2,2,8000,0.5714285714285714,-33.914113538265575,-42.39264192283197,0.0039508554503293195,0.008875,-126.98009510416667,-145.16666666666666,-124.75,-108.41666666666667,0.0914586953125,0.09875,0.0,0.0,20.036833333333348,0.001,0.0003533765696816924,0.00030738192342388295,fail,420.1011666666668,0.0,0.0,0.0,fail,142.3644166666668,0.0,0.0,0.0,fail,873.5891666666669,0.0,0.0,0.0,fail,304.3561249999999,0.0,0.0,0.0,fail,1422.9244583333327,0.0,0.0,0.0,fail
standard,0.4,1.0,2,2,8000,0.5,-19.58032258064516,-24.47540322580645,0.02016230073825633,0.072125,-108.4240590625,-129.0,-108.58333333333333,-92.08333333333333,0.20798085156249999,0.372,0.0,0.001625,20.036833333333348,0.006375,0.0008898285912887942,0.004630935961073963,fail,420.1011666666668,0.000375,0.0002164657521988178,-4.9272874309682865e-05,fail,142.3644166666668,0.00175,0.0004672977503690768,0.0008340964092766096,fail,873.5891666666669,0.0,0.0,0.0,fail,304.3561249999999,0.00075,0.0003060713764794088,0.00015010010210035878,fail,1422.9244583333327,0.0,0.0,0.0,fail
standard,0.4,1.5,2,2,8000,0.4,-5.434631239655031e-15,-6.793289049568788e-15,0.15501145141881137,0.580875,-25.942264479166663,-121.0,-83.91666666666667,104.1896666666667,0.46186561718749997,1.84275,0.000125,0.033125,20.036833333333348,0.1705,0.0042046068484461185,0.1622589705770456,fail,420.1011666666668,0.02675,0.0018039691481563644,0.023214220469613526,fail,142.3644166666668,0.084375,0.0031075685707438543,0.07828416560134205,fail,873.5891666666669,0.008125,0.0010036797531458926,0.006157787683834051,fail,304.3561249999999,0.042375,0.0022522033482514406,0.03796068143742718,fail,1422.9244583333327,0.002875,0.0005986165691617631,0.0017017115244429442,fail
standard,0.4,2.0,2,2,8000,0.3333333333333333,13.84537887459429,17.306723593242864,0.38521267607140186,0.938375,444.1926116666667,-92.08183333333334,157.17291666666665,1315.1537500000004,0.7794024843749999,3.919,0.015625,0.172,20.036833333333348,0.66575,0.005274075007762025,0.6554128129847864,fail,420.1011666666668,0.31475,0.0051923313345259466,0.3045730305843291,fail,142.3644166666668,0.5155,0.005587483221451318,0.5045485328859554,fail,873.5891666666669,0.166125,0.004161242067805597,0.15796896554710102,fail,304.3561249999999,0.382,0.00543226472109009,0.37135276114666343,fail,1422.9244583333327,0.089375,0.0031895749986283442,0.08312343300268844,fail
standard,0.45,0.75,2,2,8000,0.5714285714285714,-24.022497089604794,-30.028121362005994,0.01372270152095724,0.04325,-114.39936479166667,-133.4949166666666,-116.58333333333333,-96.16666666666667,0.167917625,0.279375,0.0,0.00075,20.036833333333348,0.003375,0.0006484220630692635,0.0021040927563842435,fail,420.1011666666668,0.00025,0.00017675459682848423,-9.643900978382905e-05,fail,142.3644166666668,0.00075,0.0003060713764794088,0.00015010010210035878,fail,873.5891666666669,0.0,0.0,0.0,fail,304.3561249999999,0.00025,0.00017675459682848423,-9.643900978382905e-05,fail,1422.9244583333327,0.0,0.0,0.0,fail
standard,0.45,1.0,2,2,8000,0.5,-9.790161290322585,-12.237701612903232,0.06338044993032052,0.27475,-87.74323947916666,-125.08333333333333,-100.41666666666667,-45.53108333333329,0.3105793828125,0.9385,0.0,0.009,20.036833333333348,0.039,0.002164457206784186,0.034757663874703,fail,420.1011666666668,0.002875,0.0005986165691617631,0.0017017115244429442,fail,142.3644166666668,0.013125,0.0012724353802354758,0.010631026654738467,fail,873.5891666666669,0.000375,0.0002164657521988178,-4.9272874309682865e-05,fail,304.3561249999999,0.005375,0.0008174739579185382,0.0037727510424796647,fail,1422.9244583333327,0.000125,0.00012499218725584412,-0.00011998468702145444,fail
